nospam	general	Hola, como estas?
nospam	general	Recuerda comprar leche en el supermercado.
spam	estafa	¡Enhorabuena! Acaba de ganar un viaje gratis a Cancun.
nospam	general	Te espero a las 8 en el cafe.
nospam	general	Bien y tu como estas??
spam	desconocido	FreeMsg Hey there darling it's been 3 week's now and no word back! I'd like some fun you up for it still? Tb ok! XxX std chgs to send, £1.50 to rcv
nospam	general	Hasta luego..
nospam	general	Adios...
spam	estafa	Ganaste una Camioneta 0km, para reclamar entra al siguiente link: byckl.com
spam	estafa	Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! the link: www.awesome.com.ef
nospam	general	HOLAAAAA!
nospam	general	OH losiento!
spam	estafa	URGENT! You have won a 1 week FREE membership in our £100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18
nospam	general	HASTA PRONTO!!!!!.
nospam	general	nos vemos luego.
spam	estafa	XXXMobileMovieClub: To use your credit, click the WAP link in the next txt message or click here>> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJJGCBL
nospam	general	Contesta por favor!
nospam	general	:)!
spam	estafa	Fine if thats the way u feel. Thats the way its gota by link: www.ganaste.com.us
spam	estafa	Responde esta encuesta: www.sorteo.com, y gana un Iphone14 pro max.
nospam	general	OH losiento!
nospam	general	Perdon!
spam	desconocido	So ü pay first lar... Then when is da stock comin...
spam	desconocido	Aft i finish my lunch then i go str down lor. Ard 3 smth lor. U finish ur lunch already?
nospam	general	JAJAAJAJ!!
spam	estafa	¡Gana dinero rápido y fácil! ¡Conviértete en millonario en solo una semana! ingresando al siguiente enlace >> www.gana.tu.sorteo.pe
nospam	general	Nos vemos luego
nospam	general	I love you
nospam	general	Te amo
nospam	general	Nos vemos en breña?
nospam	general	apurate
nospam	general	jejejeej
nospam	general	XDDDDDDDDDDDDDDD
nospam	general	si como no
nospam	general	mama ya regreso
nospam	general	tienes una oportunidad
nospam	general	que triste!!
nospam	general	mis condolencias :(
nospam	general	crees poder?
nospam	general	nos veremos algun dia
nospam	general	llevaras este curso
nospam	general	podemos ir a comer..
nospam	general	jsjsjsjs
nospam	general	otro dia hablamos
nospam	general	disculpame no fue mi intencion :)
nospam	general	te quiero
nospam	general	porque no me hablas
nospam	general	podemos salir a caminar
nospam	general	con permiso
nospam	general	que opinas
spam	estafa	¡Ingresa y gana un iphone13 a este enlace: htpps://biycl.com
spam	promociones	Responde a esta encuesta y obten descuentos fabulosos en falabella!! ingresando a www.falabella.com.pe
spam	promociones	Renueva con claro y obten mas beneficios ingresando a: www.claro.com.pe
spam	estafa	Observamos un ingreso insual en tu cuenta BBVA ingresa al siguiente link si no realizaste alguna operacion: www.bancacontinental.sskjb.com
spam	desconocido	Hello World
spam	desconocido	Ataque fishing para ti !!!!!!!!!!!
spam	desconocido	Open da door on the fish
spam	desconocido	hello my name is sarah
spam	desconocido	hello kitty
spam	estafa	Responde y contesta la respuesta ganadora entrando aqui: >>> htpps:bitjk.com
spam	estafa	¡Felicidades! Acabas de ganar un crucero de lujo gratis
spam	estafa	Actualiza tu teléfono ahora y obtén un descuento del 90% en el último modelo
spam	estafa	URGENTE: Te has ganado un premio de $1,000,000. Haz clic para reclamarlo
spam	estafa	¡Felicidades! Eres el ganador de un crucero de lujo por el Caribe. Ingresa a este enlace para reclamar tu premio: htpps://ganadorcruce.com
spam	estafa	Gana un iPhone Xs Max GRATIS ahora mismo. Haz clic aquí: htpps://iphonexsmax-gratis.com
spam	estafa	Has sido seleccionado para recibir un bono de $10,000. Regístrate aquí para obtenerlo: htpps://bonus-dinero.com
spam	estafa	¡Tienes la oportunidad de ganar un millón de dólares! Solo debes ingresar a htpps://ganamillonario.com e inscribirte
spam	estafa	Enhorabuena, eres el ganador de un viaje todo incluido a París. Reclama tu premio en htpps://viajeparis-gratis.com
spam	estafa	Ganaste un automóvil de lujo. Haz clic aquí para obtener más información y reclamar tu premio: htpps://autolujoso-ganador.com
spam	estafa	¡Felicidades! Eres el afortunado ganador de un vale de compra de $500. Ingresa a htpps://valecompra-ganador.com para obtenerlo
spam	estafa	Has sido seleccionado como el ganador de un televisor de pantalla gigante. Reclama tu premio en htpps://televisor-ganador.com
spam	estafa	¡Gana un viaje de ensueño a las Maldivas! Haz clic aquí para más información: htpps://viajemaldivas-gratis.com
spam	estafa	Eres el afortunado ganador de un iPhone 12 Pro. Ingresa a htpps://iphone12pro-ganador.com para recibirlo
spam	estafa	Gana un paquete vacacional para toda tu familia. Regístrate ahora en htpps://paquetevacacional-gratis.com
